shelter_id,shelter_na,address_1,city,county_par,fips_code,state,zip,mail_addr_,mailing_ad,mailing__1,mailing_ci,mailing_co,mailing_st,mailing_zi,facility_u,evacuation,post_impac,ada_compli,wheelchair,pet_accomm,pet_acco_1,generator_,self_suffi,latitude,longitude,in_100_yr_,in_500_yr_,in_surge_s,pre_landfa,shelter_co,org_organi,org_orga_1,org_main_p,org_fax,org_email,org_hotlin,org_other_,org_addres,org_city,org_state,org_zip,org_poc_na,org_poc_ph,org_poc_af,org_poc_em,org_hours_,population,incident_i,shelter_st,shelter_op,shelter_cl,reporting_,general_po,medical_ne,other_popu,other_po_1,total_popu,pet_popula,incident_n,incident_1,incident_c,objectid,score,status,match_type,loc_name,geox,geoy,facility_t,subfacilit,data_sourc,geometry
184234,MARLBOROUGH TOWN HALL,26 N MAIN ST,MARLBOROUGH,HARTFORD,,CT,06447,NO,,,,,,,EVAC,20.0,0.0,,,,,,,41.63219133,-72.46187173,,,,,OTHER,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,OTHER,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,651898,81.0,M,A,Street,-72.46187173,41.63219133,SHELTER,OTHER,0.0,POINT (-72.46187173299995 41.63219132900008)
184235,MARVELWOOD SCHOOL,476 SKIFF MTN RD,KENT,LITCHFIELD,,CT,06757,NO,,,,,,,POST,0.0,300.0,,,,,,,41.78261193,-73.46057784,,,,,OTHER,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,OTHER,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,651899,81.0,M,A,Street,-73.46057784,41.78261193,SHELTER,OTHER,0.0,POINT (-73.46057783899994 41.782611931000076)
183805,Ansonia High School,20 Pulaski Hwy,Ansonia,NEW HAVEN,,CT,6401,YES,,,,,,,POST,0.0,25.0,,,,,,,41.32988423,-73.06423763,,,,,GENERAL,121910.0,VALLEY CHAPTER,,,,,,2A Francis Street,Derby,CT,6418,,,,,,GENERAL,3531.0,CLOSED,2020/10/29,2012/11/01,OVERNIGHT,0.0,,,,0.0,,15613,Hurricane Sandy - CT RI,UNK,651955,81.0,M,A,Street,-73.06423763,41.32988423,SHELTER,GENPOPSHEL,0.0,POINT (-73.06423762699995 41.329884228000026)
184071,GRANBY MIDDLE SCHOOL,321 SALMON BROOK ST,GRANBY,HARTFORD,,CT,06035,NO,,,,,,,BOTH,300.0,150.0,,YES,,,,,41.956001220000005,-72.79004333,NO,,NO,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,651961,81.0,M,A,Street,-72.79004333,41.956001220000005,SHELTER,GENPOPSHEL,0.0,POINT (-72.79004333399996 41.95600121800004)
334394,Old Lyme Town Hall,52 Lyme Street,OLD LYME,New London,,CT,06371,,,,,,,,EVAC,100.0,0.0,NO,YES,NONE,,NO,YES,41.31687104,-72.32970737000001,,,UNK,UNK,GENERAL,121602.0,MIDDLESEX CENTRAL CONNECTICUT CHAPTER,,,,,,97 Broad Street,Middletown,CT,6457,,,,,8,GENERAL,319.0,CLOSED,2020/12/27,2010/12/28,OVERNIGHT,0.0,0.0,0.0,,0.0,0.0,#CT1210-01,NE CT 12/10 Blizzard - STATE,BLI,652174,100.0,M,A,Street,-72.32970737000001,41.31687104,SHELTER,GENPOPSHEL,0.0,POINT (-72.32970736699997 41.316871038000045)
184055,Franklin Elementary School,206 POND RD,NORTH FRANKLIN,NEW LONDON,,CT,06254,NO,,,,,,,BOTH,700.0,200.0,,YES,,,,,41.63308166,-72.12933842,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,652411,81.0,M,A,Street,-72.12933842,41.63308166,SHELTER,GENPOPSHEL,0.0,POINT (-72.12933841899996 41.63308165700005)
334393,Calendar House,388 Pleasant Street,SOUTHINGTON,Hartford,,CT,06489,,,,,,,,BOTH,340.0,170.0,NO,NO,NONE,,NO,YES,41.607226149999995,-72.85793315,,,UNK,UNK,GENERAL,121602.0,MIDDLESEX CENTRAL CONNECTICUT CHAPTER,,,,,,97 Broad Street,Middletown,CT,6457,,,,,8,GENERAL,319.0,CLOSED,2020/11/03,,OVERNIGHT,0.0,0.0,0.0,,0.0,0.0,#CT1210-01,NE CT 12/10 Blizzard - STATE,BLI,652431,100.0,M,A,Street,-72.85793315,41.607226149999995,SHELTER,GENPOPSHEL,0.0,POINT (-72.85793315399997 41.60722614900004)
183983,EAST HARTFORD TOWN HALL,740 MAIN ST,EAST HARTFORD,HARTFORD,,CT,06108,NO,,,,,,,BOTH,102.0,51.0,,,,,,,41.76599246,-72.6456392,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,656.0,CLOSED,2020/10/30,2011/11/14,OVERNIGHT,0.0,0.0,,,0.0,,#CT1011-01 - 10/29/2011,CT 10/11 Blizzard - STATEWIDE,BLI,652555,81.0,M,A,Street,-72.6456392,41.76599246,SHELTER,GENPOPSHEL,0.0,POINT (-72.64563919599993 41.765992460000064)
184306,NORTHEAST ELEMENTARY SCHOOL,69 EAST ST,VERNON ROCKVILLE,TOLLAND,,CT,06066,NO,,,,,,,BOTH,128.0,64.0,,YES,,,,,41.86174328,-72.43174444,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,652740,81.0,M,A,Street,-72.43174444,41.86174328,SHELTER,GENPOPSHEL,0.0,POINT (-72.43174444399995 41.86174327600003)
184137,J F K MIDDLE SCHOOL,155 RAFFIA RD,ENFIELD,HARTFORD,,CT,06082,NO,,,,,,,BOTH,1470.0,325.0,,,,,YES,,41.959832330000005,-72.56569846000001,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,656.0,CLOSED,2020/10/29,2011/11/14,OVERNIGHT,0.0,0.0,,,0.0,,#CT1011-01 - 10/29/2011,CT 10/11 Blizzard - STATEWIDE,BLI,652752,81.0,M,A,Street,-72.56569846000001,41.959832330000005,SHELTER,GENPOPSHEL,0.0,POINT (-72.56569846099995 41.95983233000004)
183791,First Congregational Church,45 TOLLAND GREEN,TOLLAND,TOLLAND,,CT,06084,NO,,,,,,,BOTH,84.0,42.0,,,,,,,41.87144696,-72.36863003,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,,CLOSED,,,,,,,,,,,,,652753,81.0,M,A,Street,-72.36863003,41.87144696,SHELTER,GENPOPSHEL,0.0,POINT (-72.36863002499996 41.87144696100006)
183792,Academy Elementary School,2134 MAIN ST,GLASTONBURY,HARTFORD,,CT,06033,NO,,,,,,,BOTH,371.0,185.0,,YES,,,YES,,41.706772099999995,-72.60801156000001,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,652754,81.0,M,A,Street,-72.60801156000001,41.706772099999995,SHELTER,GENPOPSHEL,0.0,POINT (-72.60801156199994 41.70677210400004)
